Hull,0,Leicester,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leicester,1,Hull,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesbrough,0,Stoke,0,1,2,6,1,4,0,2,6,4,8,0,4,0,0,4,4,4,0,23,15,9,0,20,8,71,323,51,343,31,363,252,142,190,204,78,197,119,10,8,17,16,20,20,0,11,9,2,15,1,18,22,538,9,8,0,0,0,0,2
Stoke,1,Middlesbrough,0,1,1,9,0,2,0,0,7,5,8,1,3,0,0,6,4,2,0,22,13,6,0,23,8,40,429,43,426,37,432,312,156,235,233,82,252,135,16,10,16,10,11,16,0,7,9,4,10,2,14,27,611,8,11,0,0,1,2,0
Southampton,0,Watford,0,1,6,10,0,8,0,2,9,13,16,0,8,0,0,11,10,3,0,31,9,6,3,25,16,57,586,55,588,31,612,425,216,323,319,78,357,208,11,6,13,8,16,21,0,10,11,0,6,1,8,9,796,22,7,0,0,0,0,0
Watford,1,Southampton,0,1,1,4,0,0,0,0,1,4,4,0,1,0,0,3,2,0,0,15,9,2,1,12,4,80,275,45,310,40,315,243,110,176,179,58,178,119,8,3,25,11,18,36,0,13,23,8,12,0,12,19,522,12,9,0,0,6,3,4
Burnley,0,Swansea,0,0,3,5,0,2,0,1,5,4,7,1,2,0,0,6,3,1,0,23,13,7,0,41,5,84,333,64,353,55,362,271,144,197,216,70,149,198,6,9,14,8,18,16,0,10,6,3,10,3,10,20,558,14,10,0,0,7,1,0
Swansea,1,Burnley,0,1,9,6,0,2,0,2,9,6,13,0,4,0,0,7,4,6,0,28,10,4,0,13,13,58,371,56,373,46,383,286,142,199,229,70,242,117,8,8,19,6,22,49,0,24,25,2,14,2,14,32,613,11,12,0,0,3,2,2
Crystal Palace,0,West Brom,0,0,4,7,0,3,0,0,7,7,10,0,4,0,0,6,5,3,0,25,13,3,0,21,9,85,379,46,418,50,414,298,165,217,245,73,223,168,8,9,28,5,17,21,0,10,11,2,12,0,12,21,621,12,12,0,0,2,2,1
West Brom,1,Crystal Palace,0,1,3,8,0,2,0,0,8,5,5,0,8,0,0,3,4,6,0,21,9,6,0,34,11,87,215,45,257,45,257,219,81,155,146,28,142,132,5,9,18,8,19,23,0,15,8,3,16,2,15,21,476,21,15,0,0,4,1,0
Everton,0,Tottenham,0,1,6,4,0,2,0,0,6,6,8,0,4,0,0,8,1,3,0,12,11,5,0,21,9,84,313,28,369,23,374,252,144,202,192,73,194,130,9,10,25,13,16,40,0,27,13,5,19,5,10,16,590,12,13,0,0,3,3,0
Tottenham,1,Everton,0,1,4,4,0,5,0,0,8,5,8,0,5,0,0,5,6,2,0,21,14,6,0,42,8,84,467,65,486,40,511,348,200,281,269,113,220,218,13,11,18,9,15,22,0,13,9,2,13,0,14,10,710,16,12,1,0,5,2,0
Man City,0,Sunderland,0,1,4,8,0,4,0,0,8,8,11,0,4,1,0,10,5,1,0,24,12,9,1,27,10,60,673,51,682,32,701,420,308,362,368,105,378,250,13,10,5,11,9,26,0,15,11,2,5,1,11,16,865,9,13,0,0,2,1,0
Sunderland,1,Man City,0,1,3,2,0,2,1,1,3,3,2,0,5,0,1,4,2,1,0,20,8,6,2,27,4,57,182,38,201,38,201,169,69,116,122,40,104,95,11,5,17,13,12,35,0,16,19,4,16,2,14,21,395,3,16,2,0,3,1,1
Bournemouth,0,Man Utd,0,1,3,2,0,4,0,1,5,3,5,0,4,0,0,4,4,1,0,24,12,4,0,26,7,58,480,65,473,30,508,314,221,277,255,87,259,192,13,11,15,8,10,7,0,2,5,2,9,3,7,8,677,19,19,0,1,4,2,0
Man Utd,1,Bournemouth,0,3,7,2,0,2,0,2,6,3,10,0,1,0,0,8,2,1,0,7,9,2,1,17,8,70,516,35,551,27,559,314,267,290,293,117,344,125,8,7,27,13,13,30,0,12,18,4,18,4,10,8,743,8,13,1,0,2,0,0
Man Utd,0,Tottenham,0,0,1,4,0,4,0,0,5,4,6,0,3,0,0,5,4,0,0,10,12,1,0,25,5,78,450,41,487,23,505,320,206,281,244,122,240,166,2,9,22,6,19,30,0,16,14,3,11,1,12,8,638,19,7,0,0,4,0,0
Tottenham,1,Man Utd,0,0,4,2,0,3,1,0,8,1,5,0,4,0,1,5,2,2,0,12,11,2,2,24,7,74,453,54,473,29,498,342,183,265,257,173,231,123,6,8,26,2,29,20,0,12,8,4,8,2,12,11,639,14,8,0,0,1,1,0
